,VG,ID,VD,VS
0,0.0,3.511e-11,0.05,0.0
1,0.01,1.005e-11,0.05,0.0
2,0.02,3.780000000000001e-12,0.05,0.0
3,0.03,2.9920000000000005e-11,0.05,0.0
4,0.04,6.779e-11,0.05,0.0
5,0.05,8.666e-11,0.05,0.0
6,0.06,8.154000000000001e-11,0.05,0.0
7,0.07,8.007e-11,0.05,0.0
8,0.08,1.1572000000000002e-10,0.05,0.0
9,0.09,1.8811e-10,0.05,0.0
10,0.1,2.6818e-10,0.05,0.0
11,0.11,3.3645e-10,0.05,0.0
12,0.12,4.139e-10,0.05,0.0
13,0.13,5.447600000000001e-10,0.05,0.0
14,0.14,7.5573e-10,0.05,0.0
15,0.15,1.04106e-09,0.05,0.0
16,0.16,1.3982e-09,0.05,0.0
17,0.17,1.8512e-09,0.05,0.0
18,0.18,2.4565e-09,0.05,0.0
19,0.19,3.295e-09,0.05,0.0
20,0.2,4.4465e-09,0.05,0.0
21,0.21,6.0093e-09,0.05,0.0
22,0.22,8.1204e-09,0.05,0.0
23,0.23,1.09209e-08,0.05,0.0
24,0.24,1.46374e-08,0.05,0.0
25,0.25,1.97672e-08,0.05,0.0
26,0.26,2.66678e-08,0.05,0.0
27,0.27,3.59776e-08,0.05,0.0
28,0.28,4.864259999999999e-08,0.05,0.0
29,0.29,6.55944e-08,0.05,0.0
30,0.3,8.8475e-08,0.05,0.0
31,0.31,1.1964e-07,0.05,0.0
32,0.32,1.6132e-07,0.05,0.0
33,0.33,2.176e-07,0.05,0.0
34,0.34,2.9418e-07,0.05,0.0
35,0.35,3.9674e-07,0.05,0.0
36,0.36,5.3426e-07,0.05,0.0
37,0.37,7.1914e-07,0.05,0.0
38,0.38,9.6974e-07,0.05,0.0
39,0.39,1.3022000000000002e-06,0.05,0.0
40,0.4,1.7454000000000005e-06,0.05,0.0
41,0.41,2.3389e-06,0.05,0.0
42,0.42,3.119e-06,0.05,0.0
43,0.43,4.1452000000000006e-06,0.05,0.0
44,0.44,5.486900000000001e-06,0.05,0.0
45,0.45,7.2428e-06,0.05,0.0
46,0.46,9.4968e-06,0.05,0.0
47,0.47,1.237e-05,0.05,0.0
48,0.48,1.6028e-05,0.05,0.0
49,0.49,2.0598e-05,0.05,0.0
50,0.5,2.6242e-05,0.05,0.0
51,0.51,3.3166e-05,0.05,0.0
52,0.52,4.1602e-05,0.05,0.0
53,0.53,5.1612e-05,0.05,0.0
54,0.54,6.3432e-05,0.05,0.0
55,0.55,7.7298e-05,0.05,0.0
56,0.56,9.3134e-05,0.05,0.0
57,0.57,0.000111112,0.05,0.0
58,0.58,0.00013118,0.05,0.0
59,0.59,0.00015362,0.05,0.0
60,0.6,0.00017798,0.05,0.0
61,0.61,0.0002043,0.05,0.0
62,0.62,0.00023268,0.05,0.0
63,0.63,0.00026234,0.05,0.0
64,0.64,0.00029338,0.05,0.0
65,0.65,0.00032588,0.05,0.0
66,0.66,0.00035882,0.05,0.0
67,0.67,0.00039236,0.05,0.0
68,0.68,0.00042634,0.05,0.0
69,0.69,0.00046002,0.05,0.0
70,0.7,0.00049356,0.05,0.0
71,0.71,0.00052684,0.05,0.0
72,0.72,0.00055918,0.05,0.0
73,0.73,0.00059092,0.05,0.0
74,0.74,0.00062154,0.05,0.0
75,0.75,0.00065116,0.05,0.0
76,0.76,0.00067986,0.05,0.0
77,0.77,0.00070714,0.05,0.0
78,0.78,0.00073332,0.05,0.0
79,0.79,0.00075844,0.05,0.0
80,0.8,0.00078224,0.05,0.0
81,0.81,0.00080506,0.05,0.0
82,0.82,0.00082686,0.05,0.0
83,0.83,0.00084726,0.05,0.0
84,0.84,0.00086678,0.05,0.0
85,0.85,0.00088566,0.05,0.0
86,0.86,0.00090314,0.05,0.0
87,0.87,0.00092016,0.05,0.0
88,0.88,0.00093604,0.05,0.0
89,0.89,0.00095106,0.05,0.0
90,0.9,0.00096588,0.05,0.0
91,0.91,0.0009794,0.05,0.0
92,0.92,0.00099254,0.05,0.0
93,0.93,0.00100516,0.05,0.0
94,0.94,0.001017,0.05,0.0
95,0.95,0.00102844,0.05,0.0
96,0.96,0.00103922,0.05,0.0
97,0.97,0.00104948,0.05,0.0
98,0.98,0.00105944,0.05,0.0
99,0.99,0.00106896,0.05,0.0
100,1.0,0.00107804,0.05,0.0
101,1.01,0.00108666,0.05,0.0
102,1.02,0.0010949,0.05,0.0
103,1.03,0.00110306,0.05,0.0
104,1.04,0.0011108,0.05,0.0
105,1.05,0.00111806,0.05,0.0
106,1.06,0.00112528,0.05,0.0
107,1.07,0.00113198,0.05,0.0
108,1.08,0.00113878,0.05,0.0
109,1.09,0.001145,0.05,0.0
110,1.1,0.0011508,0.05,0.0
111,1.11,0.001157,0.05,0.0
112,1.12,0.0011626,0.05,0.0
113,1.13,0.001168,0.05,0.0
114,1.14,0.001173,0.05,0.0
115,1.15,0.0011782,0.05,0.0
116,1.16,0.0011832,0.05,0.0
117,1.1700000000000002,0.0011882,0.05,0.0
118,1.1800000000000002,0.0011932,0.05,0.0
119,1.19,0.0011974,0.05,0.0
120,1.2,0.0012016,0.05,0.0
121,1.21,0.001206,0.05,0.0
122,1.22,0.0012102,0.05,0.0
123,1.23,0.001214,0.05,0.0
124,1.24,0.001218,0.05,0.0
