,VD,IB,ID,IG,IS,VG,VB,VS
0,0.0,-1.321e-13,1.433e-10,5.163e-13,1.1497e-09,1.2,0.0,0.0
1,0.0225,-3.01e-14,2.561e-05,2.133e-13,-2.5592e-05,1.2,0.0,0.0
2,0.045,-2.15e-14,5.0012e-05,3.52e-13,-4.9982e-05,1.2,0.0,0.0
3,0.0675,-1.693e-13,7.2952e-05,4.683e-13,-7.2954e-05,1.2,0.0,0.0
4,0.09,-7.26e-14,9.4778e-05,5.8e-14,-9.466e-05,1.2,0.0,0.0
5,0.1125,3.485e-13,0.00011502,4.066e-13,-0.00011474,1.2,0.0,0.0
6,0.135,3.684e-13,0.00013328,7.478e-13,-0.00013406,1.2,0.0,0.0
7,0.1575,3.012e-13,0.00015168,3.17e-13,-0.00015154,1.2,0.0,0.0
8,0.18,7.16e-14,0.0001674,2.432e-13,-0.00016716,1.2,0.0,0.0
9,0.2025,1.644e-13,0.00018028,-2.97e-14,-0.00018036,1.2,0.0,0.0
10,0.225,7.69e-14,0.00019278,4.23e-14,-0.00019304,1.2,0.0,0.0
11,0.2475,2.464e-13,0.00020484,-8.9e-15,-0.00020454,1.2,0.0,0.0
12,0.27,1.329e-13,0.00021622,8.5e-15,-0.00021454,1.2,0.0,0.0
13,0.2925,-6.65e-14,0.0002235,6.644e-13,-0.0002261,1.2,0.0,0.0
14,0.315,7.73e-14,0.00023804,-2.14e-14,-0.00023566,1.2,0.0,0.0
15,0.3375,4.86e-14,0.00023852,-6.95e-14,-0.0002448,1.2,0.0,0.0
16,0.36,2.3e-14,0.0002528,-1.083e-13,-0.0002523,1.2,0.0,0.0
17,0.3825,-1.122e-13,0.00025928,2.03e-13,-0.00025964,1.2,0.0,0.0
18,0.405,-8.37e-14,0.00026572,5.484e-13,-0.00026388,1.2,0.0,0.0
19,0.4275,-1.163e-13,0.00026832,-1.071e-13,-0.00026912,1.2,0.0,0.0
20,0.45,-1.549e-13,0.00027412,-1.252e-13,-0.0002738,1.2,0.0,0.0
21,0.4725,-1.147e-13,0.00027788,1.858e-13,-0.00027776,1.2,0.0,0.0
22,0.495,-1.677e-13,0.00028318,1.854e-13,-0.00028272,1.2,0.0,0.0
23,0.5175,-1.494e-13,0.00028646,-2.34e-14,-0.00028832,1.2,0.0,0.0
24,0.54,-3.721e-13,0.00029196,9.5e-14,-0.00029114,1.2,0.0,0.0
25,0.5625,-2.495e-13,0.00029758,1.452e-13,-0.00029768,1.2,0.0,0.0
26,0.585,-1.542e-13,0.00030002,3.601e-13,-0.00029352,1.2,0.0,0.0
27,0.6075,-1.488e-13,0.0002951,2.32e-13,-0.00029648,1.2,0.0,0.0
28,0.63,-2.194e-13,0.00029988,6.928e-13,-0.00030454,1.2,0.0,0.0
29,0.6525,-6.48e-14,0.00030816,1.69e-13,-0.00030946,1.2,0.0,0.0
30,0.675,-1.343e-13,0.00031198,1.42e-14,-0.00031046,1.2,0.0,0.0
31,0.6975,-5.42e-14,0.00031552,2.006e-13,-0.0003158,1.2,0.0,0.0
32,0.72,4.16e-14,0.00031962,1.659e-13,-0.00034398,1.2,0.0,0.0
33,0.7425,-6.3e-15,0.0003475,2.049e-13,-0.00035562,1.2,0.0,0.0
34,0.765,7.14e-14,0.00036492,3.812e-13,-0.00037608,1.2,0.0,0.0
35,0.7875,7.5e-14,0.00038798,7.68e-14,-0.00040322,1.2,0.0,0.0
36,0.81,2.081e-13,0.0004074,3.375e-13,-0.00040842,1.2,0.0,0.0
37,0.8325,1.735e-13,0.00041548,2.387e-13,-0.00041618,1.2,0.0,0.0
38,0.855,1.397e-13,0.00042084,1.754e-13,-0.00042118,1.2,0.0,0.0
39,0.8775,7.6e-14,0.00042406,2.429e-13,-0.00042248,1.2,0.0,0.0
40,0.9,7.12e-14,0.00042754,1.597e-13,-0.00043028,1.2,0.0,0.0
41,0.9225,6.09e-14,0.00043508,4.029e-13,-0.00043232,1.2,0.0,0.0
42,0.945,-2.609e-13,0.00043804,5.45e-13,-0.00044026,1.2,0.0,0.0
43,0.9675,-5.112e-13,0.00043826,4.673e-13,-0.000438,1.2,0.0,0.0
44,0.99,-1.0954e-12,0.0004392,2.164e-13,-0.0004387,1.2,0.0,0.0
45,1.0125,-1.8231e-12,0.00044136,1.063e-13,-0.00045032,1.2,0.0,0.0
46,1.035,-2.9545e-12,0.00045204,1.633e-13,-0.00045514,1.2,0.0,0.0
47,1.0575,-4.5696e-12,0.0004595,2.218e-13,-0.00045772,1.2,0.0,0.0
48,1.08,-7.0045e-12,0.00046208,1.248e-13,-0.00045688,1.2,0.0,0.0
49,1.1025,-1.03261e-11,0.00046056,-7.54e-14,-0.00046134,1.2,0.0,0.0
50,1.125,-1.7061e-11,0.00046928,2.912e-13,-0.00046228,1.2,0.0,0.0
51,1.1475,-2.416e-11,0.0004666,6.687e-13,-0.0004669,1.2,0.0,0.0
52,1.17,-3.4462e-11,0.00047074,6.37e-14,-0.00047434,1.2,0.0,0.0
53,1.1925,-4.9568e-11,0.00047704,3.286e-13,-0.0004751,1.2,0.0,0.0
54,1.215,-7.0368e-11,0.00047752,3.886e-13,-0.00048032,1.2,0.0,0.0
55,1.2375,-9.9704e-11,0.00048144,4.166e-13,-0.00048118,1.2,0.0,0.0
56,1.26,-1.3479e-10,0.00048536,4.519e-13,-0.00048028,1.2,0.0,0.0
57,1.2825,-1.9542e-10,0.0004815,1.153e-13,-0.00048334,1.2,0.0,0.0
58,1.305,-2.6242e-10,0.00048488,7.38e-14,-0.00048594,1.2,0.0,0.0
59,1.3275,-3.7786e-10,0.00048882,4.55e-14,-0.00048786,1.2,0.0,0.0
60,1.35,-4.989e-10,0.00049096,2.159e-13,-0.0004904,1.2,0.0,0.0
61,1.3725,-6.8282e-10,0.0004922,1.562e-13,-0.0004923,1.2,0.0,0.0
62,1.395,-9.1312e-10,0.00049486,3.744e-13,-0.00049444,1.2,0.0,0.0
63,1.4175,-1.2191e-09,0.00049618,1.7175e-12,-0.00049658,1.2,0.0,0.0
64,1.44,-1.5953e-09,0.00049896,4.03e-13,-0.00049902,1.2,0.0,0.0
65,1.4625,-2.0878e-09,0.00050088,2.022e-13,-0.00050266,1.2,0.0,0.0
66,1.485,-2.6988e-09,0.00050444,2.55e-13,-0.00050396,1.2,0.0,0.0
