,VG,IB,ID,IG,IS
0,0.0,-6.708e-13,-6.51e-13,-1.9e-14,-9.967e-13
1,0.0225,-4.113e-13,-5.367e-13,9.8e-13,-7.313e-13
2,0.045,5.5e-14,-5.623e-13,4.61e-13,-1.0017e-12
3,0.0675,-2.497e-13,-4.933e-13,-9.6e-14,-1.5943e-12
4,0.09,-3.4e-15,-3.142e-13,3.2e-13,-3.3639e-12
5,0.1125,-4.581e-13,9.456e-13,-1.8e-14,-6.3681e-12
6,0.135,-7.59e-13,1.3615e-12,4.44e-13,-9.903e-12
7,0.1575,-6.332e-13,3.6341e-12,3.9e-14,-1.0741e-11
8,0.18,-5.241e-13,7.3972e-12,9.13e-13,-1.7179e-11
9,0.2025,1.22e-13,1.3038e-11,-2.27e-12,-2.8548e-11
10,0.225,-6.464e-13,2.6777e-11,5.12e-13,-3.7133e-11
11,0.2475,-1.625e-13,5.4418e-11,1.008e-12,-6.6612e-11
12,0.27,1.552e-13,1.0712e-10,1.22e-13,-1.2383e-10
13,0.2925,-6.299e-13,2.0423e-10,4e-15,-2.1709e-10
14,0.315,7.09e-14,4.0962e-10,1.034e-12,-4.1935e-10
15,0.3375,-6.165e-13,8.0391e-10,5.9e-14,-7.965e-10
16,0.36,9.21e-14,1.5559e-09,1.191e-12,-1.586e-09
17,0.3825,-5.771e-13,2.9823e-09,-3.18e-13,-2.9651e-09
18,0.405,-3e-14,5.6855e-09,2.467e-12,-5.8024e-09
19,0.4275,-1.2162e-12,1.04011e-08,-1.06e-13,-1.03716e-08
20,0.45,-7.528e-13,1.6865e-08,9.96e-13,-1.6853e-08
21,0.4725,-1.0664e-12,2.3747e-08,1.45e-12,-2.3539e-08
22,0.495,-7.292e-13,3.3829e-08,4.83e-13,-3.3697e-08
23,0.5175,-8.79e-13,5.3204e-08,6.7e-13,-5.3274e-08
24,0.54,-1.3358e-12,8.7608e-08,7.57e-13,-8.7644e-08
25,0.5625,-1.196e-12,1.4412e-07,1.604e-12,-1.4384e-07
26,0.585,-6.124e-13,2.4256e-07,1.337e-12,-2.4252e-07
27,0.6075,-5.491e-13,3.9742e-07,1.109e-12,-3.9738e-07
28,0.63,-7.299e-13,6.398e-07,-1.7e-14,-6.398e-07
29,0.6525,-5.687e-13,9.9726e-07,1.587e-12,-9.972e-07
30,0.675,-1.288e-13,1.5087e-06,4.29e-13,-1.5086e-06
31,0.6975,-9.688e-13,2.2029e-06,5.47e-13,-2.2029e-06
32,0.72,-8.596e-13,3.1178e-06,1.123e-12,-3.1168e-06
33,0.7425,-2.624e-13,4.2745e-06,2.887e-12,-4.2739e-06
34,0.765,-6e-13,5.6739e-06,2.88e-13,-5.6729e-06
35,0.7875,-2.657e-13,7.2995e-06,1.114e-12,-7.2995e-06
36,0.81,-5.935e-13,9.1478e-06,-2.5e-13,-9.1463e-06
37,0.8325,-6.883e-13,1.1178e-05,1.752e-12,-1.1178e-05
38,0.855,-2.579e-13,1.3348e-05,1.173e-12,-1.3348e-05
39,0.8775,-7.008e-13,1.5642e-05,3.07e-13,-1.5644e-05
40,0.9,-4.737e-13,1.803e-05,4.13e-13,-1.8028e-05
41,0.9225,-2.163e-13,2.0456e-05,-2.94e-13,-2.0454e-05
42,0.945,-5.085e-13,2.291e-05,4.99e-13,-2.2908e-05
43,0.9675,-1.824e-13,2.5366e-05,1.12e-12,-2.5368e-05
44,0.99,-4.662e-13,2.7788e-05,1.656e-12,-2.779e-05
45,1.0125,-5.443e-13,3.0188e-05,5.59e-13,-3.0184e-05
46,1.035,-1.526e-13,3.2518e-05,1.226e-12,-3.2504e-05
47,1.0575,-3.537e-13,3.4792e-05,1.44e-13,-3.478e-05
48,1.08,-3.933e-13,3.701e-05,1.175e-12,-3.7006e-05
49,1.1025,-3.781e-13,3.9162e-05,1.006e-12,-3.9154e-05
50,1.125,-4.764e-13,4.1256e-05,2.47e-13,-4.1256e-05
51,1.1475,-6.372e-13,4.3244e-05,1.86e-12,-4.325e-05
52,1.17,-1.0275e-12,4.52e-05,2.65e-13,-4.519e-05
53,1.1925,-8.837e-13,4.7082e-05,3.05e-13,-4.7064e-05
54,1.215,-1.47e-14,4.8854e-05,1.272e-12,-4.8842e-05
55,1.2375,-1.3343e-12,5.059e-05,9.08e-13,-5.0586e-05
56,1.26,-6.064e-13,5.2274e-05,1.61e-12,-5.226e-05
57,1.2825,-8.612e-13,5.3858e-05,1.88e-13,-5.3856e-05
58,1.305,-9.68e-13,5.5324e-05,1.68e-12,-5.5318e-05
59,1.3275,-8.221e-13,5.6694e-05,6.59e-13,-5.6672e-05
60,1.35,-2.387e-13,5.8154e-05,1.325e-12,-5.8136e-05
61,1.3725,-3.707e-13,5.9556e-05,-1.47e-13,-5.9536e-05
62,1.395,-6.556e-13,6.0798e-05,2.013e-12,-6.08e-05
63,1.4175,-7.831e-13,6.2056e-05,5.22e-13,-6.2046e-05
64,1.44,-3.687e-13,6.325e-05,1.728e-12,-6.323e-05
65,1.4625,-7.843e-13,6.4416e-05,6.09e-13,-6.4394e-05
66,1.485,-6.966e-13,6.5552e-05,1.895e-12,-6.5534e-05
67,1.5075,-2.356e-13,6.661e-05,1.564e-12,-6.6598e-05
68,1.53,-8.089e-13,6.7668e-05,3.75e-13,-6.7652e-05
69,1.5525,-4.231e-13,6.8548e-05,1.666e-12,-6.8538e-05
70,1.575,-1.0206e-12,6.9448e-05,2.45e-13,-6.9438e-05
71,1.5975,-6.992e-13,7.0422e-05,2.244e-12,-7.0426e-05
72,1.62,-1.129e-12,7.1308e-05,1.952e-12,-7.1278e-05
73,1.6425,-8.853e-13,7.2012e-05,6.71e-13,-7.2004e-05
74,1.665,-7.633e-13,7.2862e-05,1.033e-12,-7.2838e-05
75,1.6875,-1.2475e-12,7.3646e-05,1.997e-12,-7.3632e-05
76,1.71,-5.785e-13,7.432e-05,1.649e-12,-7.4294e-05
77,1.7325,-8e-13,7.4978e-05,8.62e-13,-7.4962e-05
78,1.755,-1.0394e-12,7.563e-05,8.8e-13,-7.563e-05
79,1.7775,-4.187e-13,7.6386e-05,1.678e-12,-7.6374e-05
80,1.8,-6.972e-13,7.6978e-05,2e-13,-7.6972e-05
