,VG,IB,ID,IG,IS,VD,VS,VB
0,0.0,-6.6249e-11,5.7875e-11,1.2e-13,1e-16,1.8,0,0.0
1,0.0225,-8.1222e-11,6.885e-11,1.9e-14,4.5e-15,1.8,0,0.0
2,0.045,-1.10385e-10,9.8099e-11,9.2e-14,8.9e-15,1.8,0,0.0
3,0.0675,-1.755e-10,1.625e-10,3.8e-13,-8e-16,1.8,0,0.0
4,0.09,-3.0017e-10,2.9548e-10,6.55e-13,-1.75e-14,1.8,0,0.0
5,0.1125,-5.6788e-10,5.5751e-10,5.44e-13,-6.6e-15,1.8,0,0.0
6,0.135,-1.08661e-09,1.08789e-09,-2.1e-14,-2.51e-14,1.8,0,0.0
7,0.1575,-2.133e-09,2.1298e-09,6.05e-13,6.1e-15,1.8,0,0.0
8,0.18,-4.1786e-09,4.1868e-09,2.71e-13,1.06e-14,1.8,0,0.0
9,0.2025,-8.3162e-09,8.3038e-09,4.5e-14,2.8e-15,1.8,0,0.0
10,0.225,-1.644e-08,1.6492e-08,2.05e-13,-9.7e-15,1.8,0,0.0
11,0.2475,-3.2873e-08,3.2856e-08,2.34e-13,-9.8e-15,1.8,0,0.0
12,0.27,-6.5457e-08,6.5428e-08,4.14e-13,6e-15,1.8,0,0.0
13,0.2925,-1.3098e-07,1.3066e-07,1.07e-12,7e-16,1.8,0,0.0
14,0.315,-2.613e-07,2.6164e-07,1.16e-13,-6.5e-15,1.8,0,0.0
15,0.3375,-5.2154e-07,5.217e-07,6.37e-13,2.9e-15,1.8,0,0.0
16,0.36,-1.04044e-06,1.0411e-06,8.47e-13,-4.4e-15,1.8,0,0.0
17,0.3825,-2.0653e-06,2.0693e-06,2.15e-13,-3e-15,1.8,0,0.0
18,0.405,-4.0526e-06,4.0537e-06,5.28e-13,2e-16,1.8,0,0.0
19,0.4275,-7.8456e-06,7.8628e-06,1.265e-12,2.5e-15,1.8,0,0.0
20,0.45,-1.4844e-05,1.4866e-05,6.75e-13,5.5e-15,1.8,0,0.0
21,0.4725,-2.7178e-05,2.7186e-05,3.76e-13,9.2e-15,1.8,0,0.0
22,0.495,-4.7972e-05,4.8018e-05,3.45e-13,4.4e-15,1.8,0,0.0
23,0.5175,-8.1172e-05,8.1178e-05,1.674e-12,1.5e-15,1.8,0,0.0
24,0.54,-0.0001306,0.0001307,4.26e-13,-9.6e-15,1.8,0,0.0
25,0.5625,-0.00020064,0.00020068,1.225e-12,2.4e-15,1.8,0,0.0
26,0.585,-0.000294,0.00029406,3.72e-13,-1.27e-14,1.8,0,0.0
27,0.6075,-0.00041192,0.00041196,5.82e-13,2.3e-15,1.8,0,0.0
28,0.63,-0.00055554,0.00055568,7.49e-13,-1.29e-14,1.8,0,0.0
29,0.6525,-0.00072356,0.00072368,1.26e-12,-1.13e-14,1.8,0,0.0
30,0.675,-0.00091506,0.00091512,3.27e-13,5.6e-15,1.8,0,0.0
31,0.6975,-0.0011268,0.001127,8.2e-13,-1.5e-15,1.8,0,0.0
32,0.72,-0.0013588,0.001359,8.94e-13,-8e-15,1.8,0,0.0
33,0.7425,-0.0016086,0.0016082,5.08e-13,-4.7e-15,1.8,0,0.0
34,0.765,-0.0018734,0.0018734,4.17e-13,-4.9e-15,1.8,0,0.0
35,0.7875,-0.0021512,0.0021514,8.66e-13,2.1e-15,1.8,0,0.0
36,0.81,-0.0024428,0.002443,3.19e-13,5.3e-15,1.8,0,0.0
37,0.8325,-0.0027458,0.0027458,7.81e-13,-5e-16,1.8,0,0.0
38,0.855,-0.0030592,0.0030588,1.782e-12,-8.3e-15,1.8,0,0.0
39,0.8775,-0.0033802,0.00338,8.79e-13,-9.5e-15,1.8,0,0.0
40,0.9,-0.0037108,0.003711,6.78e-13,-3.4e-15,1.8,0,0.0
41,0.9225,-0.0040496,0.0040486,3.48e-13,1e-16,1.8,0,0.0
42,0.945,-0.0043936,0.0043936,1.607e-12,-7e-16,1.8,0,0.0
43,0.9675,-0.0047434,0.0047438,1.58e-13,1.17e-14,1.8,0,0.0
44,0.99,-0.0051002,0.0051004,4.14e-13,1.2e-15,1.8,0,0.0
45,1.0125,-0.0054622,0.0054622,2.74e-13,-8e-16,1.8,0,0.0
46,1.035,-0.005828,0.005828,1.324e-12,-1.04e-14,1.8,0,0.0
47,1.0575,-0.0061988,0.0061994,1.028e-12,-9.2e-15,1.8,0,0.0
48,1.08,-0.0065738,0.0065742,4.17e-13,-8.8e-15,1.8,0,0.0
49,1.1025,-0.0069504,0.0069508,8.68e-13,1.4e-15,1.8,0,0.0
50,1.125,-0.007332,0.0073326,1.281e-12,1.9e-15,1.8,0,0.0
51,1.1475,-0.007716,0.0077168,1.005e-12,1.4e-15,1.8,0,0.0
