,VD,IB,ID,IG,IS,VG,VB,VS
0,0.0,5.5941e-08,-3.5765e-08,1.085e-13,-4.5e-15,0.6,0.0,0.0
1,0.0225,-4.5786e-05,4.581e-05,9.01e-14,2.9e-15,0.6,0.0,0.0
2,0.045,-7.2194e-05,7.2194e-05,2.106e-13,1.1e-14,0.6,0.0,0.0
3,0.0675,-8.7116e-05,8.7118e-05,-1.52e-14,0.0,0.6,0.0,0.0
4,0.09,-9.5608e-05,9.558e-05,-4.32e-14,-8.3e-15,0.6,0.0,0.0
5,0.1125,-0.000100724,0.000100702,2.38e-14,1.9e-15,0.6,0.0,0.0
6,0.135,-0.000104114,0.000104104,1.085e-13,-4.9e-15,0.6,0.0,0.0
7,0.1575,-0.000106646,0.000106654,-2.24e-14,-3.3e-15,0.6,0.0,0.0
8,0.18,-0.000108702,0.000108708,-1.97e-14,-6.4e-15,0.6,0.0,0.0
9,0.2025,-0.000110482,0.000110518,1.026e-13,4.1e-15,0.6,0.0,0.0
10,0.225,-0.00011218,0.000112168,2.44e-14,1.4e-15,0.6,0.0,0.0
11,0.2475,-0.000113808,0.000113788,1.373e-13,-2.8e-15,0.6,0.0,0.0
12,0.27,-0.00011529,0.00011526,-1.429e-13,-4.3e-15,0.6,0.0,0.0
13,0.2925,-0.000116776,0.00011678,-1.55e-14,-4.5e-15,0.6,0.0,0.0
14,0.315,-0.00011814,0.00011822,7.15e-14,6.9e-15,0.6,0.0,0.0
15,0.3375,-0.0001196,0.00011968,8.49e-14,-3.5e-15,0.6,0.0,0.0
16,0.36,-0.000121,0.00012108,2.413e-13,-3.3e-15,0.6,0.0,0.0
17,0.3825,-0.00012238,0.0001225,2.77e-14,-1.41e-14,0.6,0.0,0.0
18,0.405,-0.00012376,0.00012382,1.168e-13,-3.4e-15,0.6,0.0,0.0
19,0.4275,-0.00012516,0.0001252,1.32e-14,-3.6e-15,0.6,0.0,0.0
20,0.45,-0.00012648,0.00012652,1.267e-13,-6e-16,0.6,0.0,0.0
21,0.4725,-0.0001278,0.00012788,-2.1e-15,-1.42e-14,0.6,0.0,0.0
22,0.495,-0.00012918,0.00012922,1.264e-13,-1.45e-14,0.6,0.0,0.0
23,0.5175,-0.00013046,0.00013056,2.22e-14,1.5e-15,0.6,0.0,0.0
24,0.54,-0.0001318,0.00013184,1.469e-13,7e-16,0.6,0.0,0.0
25,0.5625,-0.00013312,0.00013318,5.1e-15,-1.1e-15,0.6,0.0,0.0
26,0.585,-0.00013448,0.00013446,1.749e-13,-2.9e-15,0.6,0.0,0.0
27,0.6075,-0.00013572,0.00013582,4.08e-14,2.8e-15,0.6,0.0,0.0
28,0.63,-0.00013702,0.00013708,1.838e-13,-1.8e-15,0.6,0.0,0.0
29,0.6525,-0.00013832,0.00013836,5.89e-14,-1.08e-14,0.6,0.0,0.0
30,0.675,-0.00013954,0.00013974,2.447e-13,1.3e-15,0.6,0.0,0.0
31,0.6975,-0.00014092,0.00014094,1.054e-13,-5e-15,0.6,0.0,0.0
