,VD,IB,ID,IG,IS,VG,VB,VS
0,0.0,1.237e-13,2.1249e-10,2.66e-14,-2.7187e-10,-0.6,0.0,0.0
1,-0.0225,-4.61e-14,-3.95e-07,9.12e-14,3.95e-07,-0.6,0.0,0.0
2,-0.045,4.34e-13,-6.87e-07,-9.6e-15,6.8716e-07,-0.6,0.0,0.0
3,-0.0675,8.997e-13,-9.0866e-07,2.55e-14,9.0872e-07,-0.6,0.0,0.0
4,-0.09,6.76e-13,-1.08178e-06,-1.27e-14,1.08182e-06,-0.6,0.0,0.0
5,-0.1125,1.2243e-12,-1.2223e-06,2.86e-14,1.2216e-06,-0.6,0.0,0.0
6,-0.135,1.0611e-12,-1.3403e-06,-1.211e-13,1.3402e-06,-0.6,0.0,0.0
7,-0.1575,5.514e-13,-1.4454e-06,-1.634e-13,1.4456e-06,-0.6,0.0,0.0
8,-0.18,7.41e-13,-1.5403e-06,-1.966e-13,1.54e-06,-0.6,0.0,0.0
9,-0.2025,1.073e-13,-1.6294e-06,-1.033e-13,1.6294e-06,-0.6,0.0,0.0
10,-0.225,1.1734e-12,-1.7137e-06,-4.08e-14,1.7133e-06,-0.6,0.0,0.0
11,-0.2475,4.543e-13,-1.7948e-06,-2.06e-14,1.7945e-06,-0.6,0.0,0.0
12,-0.27,1.3195e-12,-1.8739e-06,5.81e-14,1.8726e-06,-0.6,0.0,0.0
13,-0.2925,1.4583e-12,-1.9509e-06,-3.2e-15,1.9508e-06,-0.6,0.0,0.0
14,-0.315,9.414e-13,-2.0267e-06,-2.6e-14,2.0265e-06,-0.6,0.0,0.0
15,-0.3375,9.043e-13,-2.1023e-06,-8.96e-14,2.1017e-06,-0.6,0.0,0.0
16,-0.36,1.2856e-12,-2.1757e-06,-1.854e-13,2.1755e-06,-0.6,0.0,0.0
17,-0.3825,8.714e-13,-2.2502e-06,-1.346e-13,2.2503e-06,-0.6,0.0,0.0
18,-0.405,2.444e-13,-2.3238e-06,-1.08e-13,2.3237e-06,-0.6,0.0,0.0
19,-0.4275,8.628e-13,-2.3965e-06,-1.63e-13,2.3971e-06,-0.6,0.0,0.0
20,-0.45,7.594e-13,-2.4697e-06,-3.64e-14,2.4703e-06,-0.6,0.0,0.0
21,-0.4725,7.024e-13,-2.5431e-06,1.45e-14,2.5435e-06,-0.6,0.0,0.0
22,-0.495,1.158e-12,-2.6168e-06,-7.03e-14,2.6168e-06,-0.6,0.0,0.0
23,-0.5175,1.4857e-12,-2.6906e-06,-6.36e-14,2.6907e-06,-0.6,0.0,0.0
24,-0.54,4.677e-13,-2.7638e-06,-8.07e-14,2.7638e-06,-0.6,0.0,0.0
25,-0.5625,7.686e-13,-2.8382e-06,-9.99e-14,2.8386e-06,-0.6,0.0,0.0
26,-0.585,9.722e-13,-2.9122e-06,-1.933e-13,2.9115e-06,-0.6,0.0,0.0
